,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
303,코슌,4.4,강남구,서울특별시 강남구 언주로153길 14 2F,이자카야 / 오뎅 / 꼬치,가격대 4만원 이상,2022-05-17,괜찮다,23,19.0,4.0,0.0
304,쇼토,4.4,강남구,서울특별시 강남구 압구정로18길 14-6 1F,베이커리,가격대 만원 미만,2022-07-30,맛있다,74,60.0,11.0,3.0
305,켄,4.4,강남구,서울특별시 강남구 언주로152길 15-3 2F,정통 일식 / 일반 일식,가격대 4만원 이상,2022-04-06,괜찮다,21,20.0,1.0,0.0
306,더라운드,4.4,강남구,서울특별시 강남구 영동대로 648 삼안빌딩,정통 중식 / 일반 중식,가격대 4만원 이상,2022-08-06,맛있다,28,23.0,2.0,3.0
307,르챔버,4.4,강남구,서울특별시 강남구 도산대로55길 42 B1,칵테일 / 와인,가격대 3만원-4만원,2022-04-02,맛있다,96,81.0,13.0,2.0
308,치즈룸,4.4,강남구,서울특별시 강남구 논현로 854 안다즈호텔 B1 112호,이탈리안,가격대 2만원-3만원,2022-07-29,맛있다,57,39.0,14.0,4.0
309,고갯마루집,4.4,강남구,서울특별시 강남구 테헤란로28길 27,닭 / 오리 요리,가격대 만원-2만원,2022-06-18,맛있다,130,104.0,15.0,11.0
310,원스타 올드패션드 햄버거,4.4,강남구,서울특별시 강남구 논현로26길 23,브런치 / 버거 / 샌드위치,가격대 만원 미만,2022-07-30,맛있다,70,55.0,12.0,3.0
311,어물전 청,4.4,강남구,서울특별시 강남구 도산대로49길 16-7 1F,퓨전 한식,가격대 4만원 이상,2022-06-27,맛있다,17,14.0,3.0,0.0
312,해목,4.4,강남구,서울특별시 강남구 선릉로145길 14,정통 일식 / 일반 일식,가격대 만원-2만원,3 일 전,맛있다,32,24.0,5.0,3.0
313,외고집설렁탕,4.4,강남구,서울특별시 강남구 선릉로64길 15 알앤텍빌딩 1F,탕 / 찌개 / 전골,가격대 만원-2만원,8 시간 전,맛있다,140,106.0,30.0,4.0
314,압구정공주떡집,4.4,강남구,서울특별시 강남구 논현로161길 11,카페 / 디저트,가격대 만원 미만,2022-04-02,맛있다,120,99.0,17.0,4.0
315,더라운드,4.4,강남구,서울특별시 강남구 선릉로148길 37 1F,정통 중식 / 일반 중식,가격대 4만원 이상,2022-05-29,맛있다,32,26.0,4.0,2.0
316,효계,4.4,강남구,서울특별시 강남구 도산대로15길 15 1F,닭 / 오리 요리,가격대 2만원-3만원,2022-07-12,맛있다,22,20.0,2.0,0.0
317,호루몬규상,4.4,강남구,서울특별시 강남구 언주로148길 14 다동 103호,고기 요리,가격대 2만원-3만원,4 일 전,맛있다,20,17.0,3.0,0.0
318,고급오복수산,4.4,강남구,서울특별시 강남구 논현로 854 B1,정통 일식 / 일반 일식,가격대 2만원-3만원,2022-07-02,맛있다,52,37.0,12.0,3.0
319,하쿠시 (휴업중),4.4,강남구,서울특별시 강남구 도산대로16길 6-10,정통 일식 / 일반 일식,가격대 2만원-3만원,2022-06-05,맛있다,18,16.0,1.0,1.0
320,비플레이트 바이 브라운브레드,4.4,강남구,서울특별시 강남구 논현로24길 41,베이커리,가격대 만원 미만,2022-02-12,맛있다,74,69.0,3.0,2.0
321,양인환대,4.4,강남구,서울특별시 강남구 강남대로42길 17,스테이크 / 바베큐,가격대 2만원-3만원,2022-07-22,맛있다,30,25.0,4.0,1.0
322,은화계,4.4,강남구,서울특별시 강남구 도산대로 152,닭 / 오리 요리,가격대 만원-2만원,2022-07-19,괜찮다,23,20.0,3.0,0.0
323,리사르커피,4.4,강남구,서울특별시 강남구 도산대로99길 60,카페 / 디저트,가격대 만원 미만,3 일 전,맛있다,38,32.0,3.0,3.0
324,에비던스,4.4,강남구,서울특별시 강남구 도산대로57길 6 1F,기타 양식,가격대 4만원 이상,2022-03-31,맛있다,12,10.0,2.0,0.0
325,7th Door,4.4,강남구,서울특별시 강남구 학동로97길 41 3-4F,이탈리안,가격대 4만원 이상,2022-08-10,맛있다,6,5.0,0.0,1.0
326,라 티지,4.4,강남구,서울특별시 강남구 선릉로134길 5 1F,카페 / 디저트,가격대 만원 미만,2022-08-10,맛있다,28,24.0,4.0,0.0
327,428 레스토랑,4.4,강남구,서울특별시 강남구 봉은사로 428 호텔 크레센도 1F,이탈리안,가격대 만원-2만원,2022-07-27,맛있다,17,15.0,1.0,1.0
328,비스트로앤트로,4.4,강남구,서울특별시 강남구 논현로159길 12 1F,다국적 퓨전,가격대 2만원-3만원,2022-07-31,맛있다,11,10.0,1.0,0.0
329,티하우스하다,4.4,강남구,서울특별시 강남구 선릉로146길 54 1F,카페 / 디저트,가격대 3만원-4만원,2022-03-06,맛있다,5,5.0,0.0,0.0
330,PDR,4.4,강남구,서울특별시 강남구 언주로134길 24 2F,칵테일 / 와인,가격대 2만원-3만원,2022-06-22,맛있다,10,10.0,0.0,0.0
331,레아,4.4,강남구,서울특별시 강남구 논현로26길 12-4,이탈리안,가격대 2만원-3만원,2022-06-12,맛있다,17,15.0,2.0,0.0
332,크랩52,4.4,강남구,서울특별시 강남구 테헤란로87길 46 트레이드타워 52F,해산물 요리,가격대 4만원 이상,2022-06-29,맛있다,7,6.0,1.0,0.0
333,논현장어,4.4,강남구,서울특별시 강남구 학동로 106,해산물 요리,가격대 2만원-3만원,2021-09-19,맛있다,20,18.0,1.0,1.0
334,이도,4.4,강남구,서울특별시 강남구 논현로75길 7 1F,이자카야 / 오뎅 / 꼬치,가격대 3만원-4만원,2022-08-01,맛있다,15,13.0,1.0,1.0
335,영동소금구이,4.4,강남구,서울특별시 강남구 강남대로124길 10 1F,고기 요리,가격대 만원-2만원,2022-03-30,맛있다,25,22.0,2.0,1.0
336,오마치슌,4.4,강남구,서울특별시 강남구 역삼로65길 20,정통 일식 / 일반 일식,가격대 3만원-4만원,2022-06-30,맛있다,13,13.0,0.0,0.0
337,한미옥,4.4,강남구,서울특별시 강남구 봉은사로 319,고기 요리,가격대 4만원 이상,6 일 전,맛있다,6,6.0,0.0,0.0
338,신사치킨클럽,4.4,강남구,서울특별시 강남구 강남대로162길 40 1F,다국적 아시아 음식,가격대 만원-2만원,2022-08-07,맛있다,15,13.0,2.0,0.0
339,쏭타이,4.4,강남구,서울특별시 강남구 테헤란로39길 51 1F 102호,태국 음식,가격대 만원-2만원,2022-07-29,맛있다,19,18.0,1.0,0.0
340,사케바현,4.4,강남구,서울특별시 강남구 테헤란로39길 55 1F,이자카야 / 오뎅 / 꼬치,가격대 2만원-3만원,2022-07-01,맛있다,7,7.0,0.0,0.0
341,야키토리파노,4.4,강남구,서울특별시 강남구 선릉로157길 13-5 1F,이자카야 / 오뎅 / 꼬치,가격대 만원-2만원,2022-02-05,맛있다,7,7.0,0.0,0.0
342,상석,4.4,강남구,서울특별시 강남구 논현로159길 15,회 / 스시,가격대 4만원 이상,2022-02-26,괜찮다,7,6.0,1.0,0.0
343,원포셰,4.4,강남구,서울특별시 강남구 논현로26길 46-8 1F,카페 / 디저트,가격대 만원 미만,2022-07-17,맛있다,6,6.0,0.0,0.0
344,비네트,4.4,강남구,서울특별시 강남구 도곡로11길 10 1F,이탈리안,가격대 2만원-3만원,2022-07-31,맛있다,4,4.0,0.0,0.0
345,올드페리도넛,4.4,강남구,서울특별시 강남구 강남대로162길 35 1F,카페 / 디저트,가격대 만원 미만,2022-08-01,맛있다,5,5.0,0.0,0.0
346,플랜튜드,4.4,강남구,서울특별시 강남구 영동대로 513 스타필드 B1-111호,기타 양식,가격대 만원-2만원,2022-07-31,맛있다,5,5.0,0.0,0.0
347,알라보 (휴업중),4.4,강남구,서울특별시 강남구 언주로71길 31 대봉빌딩 1F,기타 양식,가격대 만원-2만원,2022-06-06,맛있다,4,4.0,0.0,0.0
348,정식당,4.3,강남구,서울특별시 강남구 선릉로158길 11 2F,퓨전 한식,가격대 4만원 이상,2022-07-27,맛있다,202,163.0,29.0,10.0
349,다운타우너,4.3,강남구,서울특별시 강남구 도산대로53길 14 1F,브런치 / 버거 / 샌드위치,가격대 만원 미만,2022-06-02,맛있다,296,251.0,35.0,10.0
350,리틀넥,4.3,강남구,서울특별시 강남구 도산대로51길 17,브런치 / 버거 / 샌드위치,가격대 만원-2만원,2022-08-06,맛있다,189,128.0,53.0,8.0
351,길버트버거앤프라이즈,4.3,강남구,서울특별시 강남구 도산대로15길 47 B1,브런치 / 버거 / 샌드위치,가격대 만원-2만원,2022-07-20,맛있다,296,235.0,49.0,12.0
352,바베네,4.3,강남구,서울특별시 강남구 강남대로136길 6,이탈리안,가격대 만원-2만원,2022-02-11,맛있다,145,102.0,31.0,12.0
353,오리지널팬케이크하우스,4.3,강남구,서울특별시 강남구 강남대로162길 41 동원빌딩 1F,브런치 / 버거 / 샌드위치,가격대 만원-2만원,2022-06-19,맛있다,344,229.0,89.0,26.0
354,스시선수,4.3,강남구,서울특별시 강남구 도산대로45길 6 호림아트센터 2빌딩,회 / 스시,가격대 4만원 이상,2021-12-08,괜찮다,94,77.0,13.0,4.0
355,파스토,4.3,강남구,서울특별시 강남구 도산대로62길 17 B1,이탈리안,가격대 2만원-3만원,2022-05-26,맛있다,111,85.0,18.0,8.0
356,지아니스나폴리,4.3,강남구,서울특별시 강남구 도산대로15길 15 2F,이탈리안,가격대 만원-2만원,3 일 전,맛있다,228,162.0,49.0,17.0
357,세시셀라,4.3,강남구,서울특별시 강남구 도산대로45길 10-4 삼경빌딩 1F,카페 / 디저트,가격대 만원 미만,2022-07-18,맛있다,288,202.0,77.0,9.0
358,정돈,4.3,강남구,서울특별시 강남구 강남대로110길 26 1F,까스 요리,가격대 만원-2만원,2022-08-03,맛있다,228,179.0,32.0,17.0
359,파불라,4.3,강남구,서울특별시 강남구 도산대로81길 51 루미안빌딩 1F,정통 중식 / 일반 중식,가격대 3만원-4만원,5 일 전,맛있다,96,84.0,11.0,1.0
360,울프강스테이크하우스,4.3,강남구,서울특별시 강남구 선릉로152길 21,스테이크 / 바베큐,가격대 4만원 이상,2022-07-13,맛있다,123,76.0,31.0,16.0
361,136길육미,4.3,강남구,서울특별시 강남구 언주로136길 9 2F,퓨전 일식,가격대 만원-2만원,2022-06-15,맛있다,115,83.0,22.0,10.0
362,볼피노리스토란테,4.3,강남구,서울특별시 강남구 도산대로45길 10-7,이탈리안,가격대 2만원-3만원,2022-06-12,맛있다,116,81.0,25.0,10.0
363,능라도,4.3,강남구,서울특별시 강남구 삼성로 534 1F,국수 / 면 요리,가격대 만원-2만원,2022-07-30,맛있다,146,110.0,23.0,13.0
364,스시사카우,4.3,강남구,서울특별시 강남구 언주로153길 10-6 B1,정통 일식 / 일반 일식,가격대 4만원 이상,2022-03-14,맛있다,30,19.0,11.0,0.0
365,묵전,4.3,강남구,서울특별시 강남구 언주로168길 22,전통 주점 / 포차,가격대 2만원-3만원,2 일 전,맛있다,166,126.0,32.0,8.0
366,크라이치즈버거,4.3,강남구,서울특별시 강남구 테헤란로 620 미래에셋벤처타워,브런치 / 버거 / 샌드위치,가격대 만원 미만,2 일 전,맛있다,173,132.0,31.0,10.0
367,메종드라카테고리,4.3,강남구,서울특별시 강남구 선릉로 826 송은아트스페이스,프랑스 음식,가격대 4만원 이상,2022-07-05,괜찮다,105,68.0,30.0,7.0
368,라미띠에,4.3,강남구,서울특별시 강남구 언주로153길 7 2F,프랑스 음식,가격대 4만원 이상,2022-02-18,맛있다,45,34.0,10.0,1.0
369,티톨로,4.3,강남구,서울특별시 강남구 선릉로162길 27-3 1F,이탈리안,가격대 2만원-3만원,2022-07-05,괜찮다,54,43.0,7.0,4.0
370,뽕나무쟁이,4.3,강남구,서울특별시 강남구 역삼로65길 31 1F,고기 요리,가격대 2만원-3만원,2022-07-30,맛있다,248,197.0,40.0,11.0
371,대가방,4.3,강남구,서울특별시 강남구 선릉로145길 13 럭스웨이 1F,정통 중식 / 일반 중식,가격대 만원-2만원,2022-08-05,괜찮다,118,81.0,23.0,14.0
372,스시카이세이,4.3,강남구,서울특별시 강남구 언주로170길 8 1F,회 / 스시,가격대 4만원 이상,2022-08-03,맛있다,21,16.0,5.0,0.0
373,스시마츠모토,4.3,강남구,서울특별시 강남구 도산대로75길 5 102호,회 / 스시,가격대 4만원 이상,2022-06-22,맛있다,18,16.0,1.0,1.0
374,선데이버거클럽,4.3,강남구,서울특별시 강남구 언주로170길 37 201호,브런치 / 버거 / 샌드위치,가격대 만원 미만,2022-07-29,괜찮다,50,38.0,9.0,3.0
375,테일러커피,4.3,강남구,서울특별시 강남구 강남대로160길 31 1F,카페 / 디저트,가격대 만원 미만,2022-07-16,맛있다,99,81.0,16.0,2.0
376,일무레또,4.3,강남구,서울특별시 강남구 논현로157길 33,이탈리안,가격대 2만원-3만원,2021-10-31,맛있다,34,26.0,6.0,2.0
377,벽돌 Happy Food,4.3,강남구,서울특별시 강남구 도산대로51길 36 1F,정통 중식 / 일반 중식,가격대 만원-2만원,2022-07-30,맛있다,70,44.0,23.0,3.0
378,스시인,4.3,강남구,서울특별시 강남구 압구정로42길 49 3F,회 / 스시,가격대 4만원 이상,2022-05-25,맛있다,22,20.0,1.0,1.0
379,스미카,4.3,강남구,서울특별시 강남구 도산대로53길 18-2 1F,회 / 스시,가격대 4만원 이상,2022-06-06,별로,11,10.0,0.0,1.0
380,Restaurant RIPE,4.3,강남구,서울특별시 강남구 영동대로96길 26 9F,고기 요리,가격대 4만원 이상,2022-08-10,맛있다,16,13.0,2.0,1.0
381,리북집,4.3,강남구,서울특별시 강남구 학동로2길 45,고기 요리,가격대 만원-2만원,2022-07-25,맛있다,184,137.0,36.0,11.0
382,카바동,4.3,강남구,서울특별시 강남구 논현로149길 52,돈부리 / 일본 카레 / 벤토,가격대 만원-2만원,2022-06-07,맛있다,27,21.0,6.0,0.0
383,에빗,4.3,강남구,서울특별시 강남구 도곡로23길 33,퓨전 양식,가격대 4만원 이상,2021-12-13,맛있다,19,15.0,2.0,2.0
384,제스트,4.3,강남구,서울특별시 강남구 도산대로55길 26 하늘빌딩 1F,칵테일 / 와인,가격대 2만원-3만원,10 시간 전,맛있다,21,19.0,2.0,0.0
385,영동민물장어,4.3,강남구,서울특별시 강남구 언주로148길 8 B1,해산물 요리,가격대 4만원 이상,2022-06-05,괜찮다,30,26.0,3.0,1.0
386,고트델리,4.3,강남구,서울특별시 강남구 선릉로161길 17 1F,브런치 / 버거 / 샌드위치,가격대 만원 미만,2022-07-30,맛있다,34,26.0,7.0,1.0
387,모노로그,4.3,강남구,서울특별시 강남구 논현로149길 31,회 / 스시,가격대 4만원 이상,2022-01-01,맛있다,19,16.0,3.0,0.0
388,이도곰탕,4.3,강남구,서울특별시 강남구 논현로94길 29-5,탕 / 찌개 / 전골,가격대 만원-2만원,2022-07-13,맛있다,122,83.0,21.0,18.0
389,돝고기506,4.3,강남구,서울특별시 강남구 역삼로17길 53,고기 요리,가격대 만원-2만원,2022-06-22,맛있다,53,37.0,11.0,5.0
390,스시장종현,4.3,강남구,서울특별시 강남구 도산대로85길 13 2F,회 / 스시,가격대 4만원 이상,3 일 전,맛있다,13,11.0,1.0,1.0
391,테라스룸,4.3,강남구,서울특별시 강남구 선릉로152길 37 올리브빌딩 2F,퓨전 양식,가격대 3만원-4만원,2022-07-31,별로,39,26.0,8.0,5.0
