"동별(1)","동별(2)",동별(3),조직형태별(1),조직형태별(2),조직형태별(3),2011,2012,2013
"합계","소계",소계,합계,사업체수,사업체수,752285,780887,785094
"합계","소계",소계,합계,종사자수,소계,4498312,4541393,4585090
"합계","소계",소계,합계,종사자수,남,2619082,2610834,2606372
"합계","소계",소계,합계,종사자수,여,1879230,1930559,1978718
"합계","소계",소계,개인,사업체수,소계,604389,619626,618048
"합계","소계",소계,개인,종사자수,소계,1471147,1506099,1491905
"합계","소계",소계,회사법인,사업체수,소계,114664,125895,129607
"합계","소계",소계,회사법인,종사자수,소계,2341566,2328409,2351002
"합계","소계",소계,회사이외의 법인,사업체수,소계,13772,14655,16039
"합계","소계",소계,회사이외의 법인,종사자수,소계,587664,605658,631132
"합계","소계",소계,비법인단체,사업체수,소계,19460,20711,21400
"합계","소계",소계,비법인단체,종사자수,소계,97935,101227,111051
"합계","종로구",소계,합계,사업체수,사업체수,38635,39486,39326
"합계","종로구",소계,합계,종사자수,소계,232685,232857,235681
"합계","종로구",소계,합계,종사자수,남,134768,132777,132534
"합계","종로구",소계,합계,종사자수,여,97917,100080,103147
"합계","종로구",소계,개인,사업체수,소계,31519,31847,31528
"합계","종로구",소계,개인,종사자수,소계,75677,76034,74092
"합계","종로구",소계,회사법인,사업체수,소계,5168,5558,5649
"합계","종로구",소계,회사법인,종사자수,소계,105707,105096,111604
"합계","종로구",소계,회사이외의 법인,사업체수,소계,1018,1118,1115
"합계","종로구",소계,회사이외의 법인,종사자수,소계,47502,47563,45608
"합계","종로구",소계,비법인단체,사업체수,소계,930,963,1034
"합계","종로구",소계,비법인단체,종사자수,소계,3799,4164,4377
"합계","종로구",사직동,합계,사업체수,사업체수,3345,3437,3466
"합계","종로구",사직동,합계,종사자수,소계,45426,45313,45046
"합계","종로구",사직동,합계,종사자수,남,26970,25035,25492
"합계","종로구",사직동,합계,종사자수,여,18456,20278,19554
"합계","종로구",사직동,개인,사업체수,소계,1745,1794,1800
"합계","종로구",사직동,개인,종사자수,소계,7781,8412,8377
"합계","종로구",사직동,회사법인,사업체수,소계,1305,1345,1333
"합계","종로구",사직동,회사법인,종사자수,소계,26493,25809,25464
"합계","종로구",사직동,회사이외의 법인,사업체수,소계,185,196,205
"합계","종로구",사직동,회사이외의 법인,종사자수,소계,10523,10423,10440
"합계","종로구",사직동,비법인단체,사업체수,소계,110,102,128
"합계","종로구",사직동,비법인단체,종사자수,소계,629,669,765
"합계","종로구",삼청동,합계,사업체수,사업체수,543,611,650
"합계","종로구",삼청동,합계,종사자수,소계,4326,4646,3980
"합계","종로구",삼청동,합계,종사자수,남,2122,2254,2013
"합계","종로구",삼청동,합계,종사자수,여,2204,2392,1967
"합계","종로구",삼청동,개인,사업체수,소계,387,426,454
"합계","종로구",삼청동,개인,종사자수,소계,1255,1437,1188
"합계","종로구",삼청동,회사법인,사업체수,소계,109,136,147
"합계","종로구",삼청동,회사법인,종사자수,소계,1159,1326,943
"합계","종로구",삼청동,회사이외의 법인,사업체수,소계,38,41,40
"합계","종로구",삼청동,회사이외의 법인,종사자수,소계,1852,1782,1758
"합계","종로구",삼청동,비법인단체,사업체수,소계,9,8,9
"합계","종로구",삼청동,비법인단체,종사자수,소계,60,101,91
"합계","종로구",부암동,합계,사업체수,사업체수,520,502,483
"합계","종로구",부암동,합계,종사자수,소계,3303,3432,3590
"합계","종로구",부암동,합계,종사자수,남,1573,1692,1731
"합계","종로구",부암동,합계,종사자수,여,1730,1740,1859
"합계","종로구",부암동,개인,사업체수,소계,401,387,370
"합계","종로구",부암동,개인,종사자수,소계,1029,924,949
"합계","종로구",부암동,회사법인,사업체수,소계,55,54,53
"합계","종로구",부암동,회사법인,종사자수,소계,657,550,643
"합계","종로구",부암동,회사이외의 법인,사업체수,소계,23,24,22
"합계","종로구",부암동,회사이외의 법인,종사자수,소계,1504,1866,1902
"합계","종로구",부암동,비법인단체,사업체수,소계,41,37,38
"합계","종로구",부암동,비법인단체,종사자수,소계,113,92,96
"합계","종로구",평창동,합계,사업체수,사업체수,595,636,662
"합계","종로구",평창동,합계,종사자수,소계,2623,2499,2635
"합계","종로구",평창동,합계,종사자수,남,1282,1205,1239
"합계","종로구",평창동,합계,종사자수,여,1341,1294,1396
"합계","종로구",평창동,개인,사업체수,소계,457,489,491
"합계","종로구",평창동,개인,종사자수,소계,1087,1092,1181
"합계","종로구",평창동,회사법인,사업체수,소계,52,58,79
"합계","종로구",평창동,회사법인,종사자수,소계,584,628,779
"합계","종로구",평창동,회사이외의 법인,사업체수,소계,23,24,25
"합계","종로구",평창동,회사이외의 법인,종사자수,소계,617,527,466
"합계","종로구",평창동,비법인단체,사업체수,소계,63,65,67
"합계","종로구",평창동,비법인단체,종사자수,소계,335,252,209
"합계","종로구",무악동,합계,사업체수,사업체수,566,610,558
"합계","종로구",무악동,합계,종사자수,소계,1412,1489,1388
"합계","종로구",무악동,합계,종사자수,남,749,828,723
"합계","종로구",무악동,합계,종사자수,여,663,661,665
"합계","종로구",무악동,개인,사업체수,소계,519,563,511
"합계","종로구",무악동,개인,종사자수,소계,1152,1108,1065
"합계","종로구",무악동,회사법인,사업체수,소계,12,15,12
"합계","종로구",무악동,회사법인,종사자수,소계,142,145,97
"합계","종로구",무악동,회사이외의 법인,사업체수,소계,8,7,9
"합계","종로구",무악동,회사이외의 법인,종사자수,소계,44,105,131
"합계","종로구",무악동,비법인단체,사업체수,소계,27,25,26
"합계","종로구",무악동,비법인단체,종사자수,소계,74,131,95
"합계","종로구",교남동,합계,사업체수,사업체수,686,550,315
"합계","종로구",교남동,합계,종사자수,소계,4497,4477,3493
"합계","종로구",교남동,합계,종사자수,남,2226,1913,1479
"합계","종로구",교남동,합계,종사자수,여,2271,2564,2014
"합계","종로구",교남동,개인,사업체수,소계,541,417,224
"합계","종로구",교남동,개인,종사자수,소계,1129,948,466
"합계","종로구",교남동,회사법인,사업체수,소계,83,78,42
"합계","종로구",교남동,회사법인,종사자수,소계,1106,1267,735
"합계","종로구",교남동,회사이외의 법인,사업체수,소계,36,34,30
"합계","종로구",교남동,회사이외의 법인,종사자수,소계,2169,2192,2207
"합계","종로구",교남동,비법인단체,사업체수,소계,26,21,19
"합계","종로구",교남동,비법인단체,종사자수,소계,93,70,85
"합계","종로구",가회동,합계,사업체수,사업체수,511,547,607
"합계","종로구",가회동,합계,종사자수,소계,10570,9661,8218
"합계","종로구",가회동,합계,종사자수,남,7287,6651,5608
"합계","종로구",가회동,합계,종사자수,여,3283,3010,2610
"합계","종로구",가회동,개인,사업체수,소계,384,408,451
"합계","종로구",가회동,개인,종사자수,소계,984,976,1132
"합계","종로구",가회동,회사법인,사업체수,소계,83,88,101
"합계","종로구",가회동,회사법인,종사자수,소계,6357,6777,6000
"합계","종로구",가회동,회사이외의 법인,사업체수,소계,33,32,35
"합계","종로구",가회동,회사이외의 법인,종사자수,소계,3182,1822,993
"합계","종로구",가회동,비법인단체,사업체수,소계,11,19,20
