"동별(1)",동별(2),2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021
"동별(1)",동별(2),계,계,계,한국인,한국인,등록외국인,등록외국인,계,계,계,한국인,한국인,등록외국인,등록외국인,계,계,계,한국인,한국인,등록외국인,등록외국인,계,계,계,한국인,한국인,등록외국인,등록외국인,계,계,계,한국인,한국인,등록외국인,등록외국인,계,계,계,한국인,한국인,등록외국인,등록외국인,계,계,계,한국인,한국인,등록외국인,등록외국인,계,계,계,한국인,한국인,등록외국인,등록외국인,계,계,계,한국인,한국인,등록외국인,등록외국인,계,계,계,한국인,한국인,등록외국인,등록외국인,계,계,계,한국인,한국인,등록외국인,등록외국인,계,계,계,한국인,한국인,등록외국인,등록외국인
"동별(1)",동별(2),소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자,소계,남자,여자,남자,여자,남자,여자
"합계",성북구,497692,245659,252033,241927,247005,3732,5028,494422,243639,250783,239726,245445,3913,5338,490639,241162,249477,237474,244383,3688,5094,485347,238228,247119,234573,242016,3655,5103,475961,233009,242952,229205,237501,3804,5451,469560,229183,240377,224980,234295,4203,6082,461617,224504,237113,219951,230404,4553,6709,455407,221103,234304,216556,227499,4547,6805,447687,216495,231192,211904,223964,4591,7228,454744,219099,235645,214437,228213,4662,7432,447056,214658,232398,210810,226343,3848,6055,440142,211150,228992,207578,222950,3572,6042
"합계",강북구,350007,173373,176634,172109,174411,1264,2223,348740,172309,176431,170906,174148,1403,2283,346493,171099,175394,169866,173291,1233,2103,341921,168546,173375,167342,171365,1204,2010,338410,166553,171857,165223,169802,1330,2055,334426,164337,170089,162967,167906,1370,2183,330704,162211,168493,160861,166334,1350,2159,328002,160252,167750,158918,165561,1334,2189,322915,157522,165393,156071,163093,1451,2300,317695,154638,163057,153235,160719,1403,2338,311569,151466,160103,150143,157912,1323,2191,302563,146984,155579,145705,153477,1279,2102
"합계",도봉구,370734,183283,187451,182407,185891,876,1560,367949,181911,186038,181004,184569,907,1469,364454,180023,184431,179194,183076,829,1355,360609,177925,182684,177153,181429,772,1255,355712,175306,180406,174554,179155,752,1251,353241,173804,179437,173029,178213,775,1224,350272,172006,178266,171238,176982,768,1284,346234,169553,176681,168759,175407,794,1274,341649,167043,174606,166160,173253,883,1353,335631,163961,171670,163051,170311,910,1359,327361,159420,167941,158620,166637,800,1304,319373,155221,164152,154487,162879,734,1273
"합계",노원구,615425,301141,314284,299384,311846,1757,2438,608062,297308,310754,295551,308379,1757,2375,600829,293616,307213,292081,305108,1535,2105,594027,289967,304060,288435,302044,1532,2016,586056,285697,300359,284225,298327,1472,2032,578221,281538,296683,279987,294596,1551,2087,571212,277866,293346,276333,291248,1533,2098,558075,271025,287050,269508,284895,1517,2155,548160,265870,282290,263919,279833,1951,2457,537303,259810,277493,257923,274982,1887,2511,527032,254188,272844,252383,270654,1805,2190,514946,247813,267133,246053,264903,1760,2230
"합계",은평구,492925,242564,250361,240536,247573,2028,2788,498350,244730,253620,242779,250855,1951,2765,505902,248150,257752,246318,255162,1832,2590,508111,248722,259389,246858,256802,1864,2587,503243,245946,257297,243977,254667,1969,2630,502578,244964,257614,242975,254945,1989,2669,495937,241048,254889,239183,252293,1865,2596,491202,238223,252979,236353,250441,1870,2538,487666,235600,252066,233702,249495,1898,2571,484546,233360,251186,231528,248504,1832,2682,484043,231998,252045,230279,249556,1719,2489,477173,228024,249149,226458,246849,1566,2300
"합계",서대문구,333871,162823,171048,158857,165684,3966,5364,324529,158160,166369,154033,160819,4127,5550,324733,157969,166764,154017,161096,3952,5668,324067,157314,166753,153315,160795,3999,5958,320861,155477,165384,151338,159038,4139,6346,323105,156130,166975,152008,160133,4122,6842,325871,156597,169274,152510,161684,4087,7590,325028,155250,169778,151144,161656,4106,8122,323080,153816,169264,149569,160744,4247,8520,323171,153215,169956,148663,160734,4552,9222,322952,153152,169800,149360,162813,3792,6987,315659,149507,166152,145694,159125,3813,7027
"합계",마포구,400464,195145,205319,191034,200831,4111,4488,398627,193539,205088,189243,200250,4296,4838,393576,190514,203062,186452,198192,4062,4870,391098,188874,202224,184774,197082,4100,5142,395830,190717,205113,186177,199262,4540,5851,398351,190957,207394,186495,201148,4462,6246,390887,186668,204219,182162,197730,4506,6489,385783,183248,202535,178939,195976,4309,6559,386359,182573,203786,178240,196837,4333,6949,385925,181303,204622,176891,197144,4412,7478,381858,178977,202881,175150,196740,3827,6141,378686,177233,201453,173504,195401,3729,6052
"합계",양천구,505223,251368,253855,249024,250977,2344,2878,505605,251346,254259,248927,251283,2419,2976,500533,248683,251850,246637,249274,2046,2576,496934,246723,250211,244742,247786,1981,2425,490708,243091,247617,241020,245201,2071,2416,489010,242074,246936,239995,244537,2079,2399,481845,238163,243682,236290,241449,1873,2233,475018,234279,240739,232518,238636,1761,2103,468145,230457,237688,228634,235551,1823,2137,462285,227019,235266,225186,232979,1833,2287,457781,224379,233402,222824,231427,1555,1975,450487,220537,229950,219214,228088,1323,1862
"합계",강서구,580506,286324,294182,283248,290879,3076,3303,575846,283662,292184,280274,288798,3388,3386,573794,282185,291609,278969,288462,3216,3147,575236,282287,292949,279207,289863,3080,3086,591653,289841,301812,286644,298516,3197,3296,595691,291216,304475,287947,301127,3269,3348,602104,293734,308370,290478,305007,3256,3363,608255,296175,312080,292989,308702,3186,3378,603611,293289,310322,290079,306870,3210,3452,598273,289691,308582,286563,305233,3128,3349,585901,282686,303215,280034,300151,2652,3064,579768,278720,301048,276292,298023,2428,3025
"합계",구로구,452667,229189,223478,214032,209704,15157,13774,458908,232056,226852,215474,211994,16582,14858,454478,229130,225348,214982,212538,14148,12810,452168,227694,224474,213251,211713,14443,12761,457131,230091,227040,213213,212618,16878,14422,454604,228201,226403,210440,211652,17761,14751,449600,225411,224189,207667,209884,17744,14305,441559,221386,220173,204003,206739,17383,13434,438486,219949,218537,200417,204080,19532,14457,439371,219602,219769,200987,205677,18615,14092,432488,215424,217064,199673,204735,15751,12329,421163,208873,212290,195537,201217,13336,11073
"합계",금천구,264544,135717,128827,125528,119667,10189,9160,264256,135604,128652,124665,118773,10939,9879,260734,133834,126900,124675,118613,9159,8287,258254,132742,125512,123462,117558,9280,7954,258030,132476,125554,121878,116585,10598,8969,256167,131346,124821,120604,115680,10742,9141,254654,130429,124225,119885,115501,10544,8724,253491,129775,123716,119497,115657,10278,8059,254021,130398,123623,118915,115002,11483,8621,251820,128954,122866,118209,114601,10745,8265,247835,126141,121694,117226,114507,8915,7187,244891,124110,120781,116527,114284,7583,6497
"합계",영등포구,445648,225127,220521,205106,201727,20021,18794,439555,221913,217642,199987,197456,21926,20186,426876,215084,211792,196765,194643,18319,17149,421577,212417,209160,193880,192591,18537,16569,421436,212261,209175,191464,190888,20797,18287,417811,210388,207423,189394,189110,20994,18313,406779,204712,202067,185200,185413,19512,16654,402024,202400,199624,183975,184575,18425,15049,403600,203319,200281,183224,184554,20095,15727,400986,200986,200000,182438,185240,18548,14760,407367,202969,204398,187647,191833,15322,12565,400908,198740,202168,185926,190911,12814,11257
"합계",동작구,413814,203608,210206,198587,204122,5021,6084,413658,203341,210317,197672,203736,5669,6581,416268,204479,211789,199454,206037,5025,5752,421487,207223,214264,202144,208671,5079,5593,419261,205962,213299,200328,207142,5634,6157,412774,202165,210609,196463,204178,5702,6431,413247,201842,211405,196267,204730,5575,6675,408493,198827,209666,193255,202962,5572,6704,409385,198458,210927,192533,203670,5925,7257,408912,197706,211206,191976,203987,5730,7219,401572,193718,207854,189152,202068,4566,5786,394364,190241,204123,186426,199057,3815,5066
"합계",관악구,549736,278445,271291,269783,261651,8662,9640,546350,276675,269675,267145,259252,9530,10423,540520,273640,266880,265281,257748,8359,9132,535128,270512,264616,262248,255780,8264,8836,531960,268683,263277,259631,253555,9052,9722,529031,266773,262258,257491,252172,9282,10086,525607,265034,260573,256143,250708,8891,9865,520929,262006,258923,253661,249636,8345,9287,520040,260742,259298,252160,249797,8582,9501,517334,259194,258140,251009,249085,8185,9055,509803,255211,254592,248339,246721,6872,7871,499449,250058,249391,243991,241708,6067,7683
"합계",서초구,440021,213200,226821,210652,224068,2548,2753,439012,212636,226376,209902,223662,2734,2714,439998,213011,226987,210440,224604,2571,2383,446541,215771,230770,213285,228478,2486,2292,454288,219109,235179,216740,232938,2369,2241,451258,217036,234222,214737,232027,2299,2195,451477,216886,234591,214673,232519,2213,2072,445401,213422,231979,211236,229866,2186,2113,438163,209977,228186,207868,226083,2109,2103,435107,208181,226926,206039,224787,2142,2139,429025,205282,223743,203359,221767,1923,1976,416167,198914,217253,197034,215245,1880,2008
"합계",강남구,577070,277932,299138,274303,295792,3629,3346,573003,275906,297097,271991,293719,3915,3378,569997,274124,295873,270970,293227,3154,2646,569152,273583,295569,270601,292998,2982,2571,583446,280082,303364,277267,300847,2815,2517,581760,279209,302551,276425,300070,2784,2481,572140,274217,297923,271604,295511,2613,2412,561052,268941,292111,266442,289722,2499,2389,547453,262203,285250,259611,282753,2592,2497,550209,263345,286864,260806,284363,2539,2501,544055,260378,283677,257999,281232,2379,2445,537800,257280,280520,255047,277995,2233,2525
"합계",송파구,693144,339868,353276,336359,348920,3509,4356,690466,338344,352122,334494,347715,3850,4407,680150,333060,347090,329747,343368,3313,3722,674955,330030,344925,326919,341496,3111,3429,671794,328308,343486,324902,339836,3406,3650,667480,325950,341530,322441,337861,3509,3669,664946,324087,340859,320557,337274,3530,3585,671173,326407,344766,323147,341349,3260,3417,673507,326849,346658,323526,343109,3323,3549,682741,330412,352329,327164,348797,3248,3532,673926,325080,348846,322299,345661,2781,3185,663965,319895,344070,317346,340992,2549,3078
"합계",강동구,496939,248588,248351,246492,245379,2096,2972,500516,250260,250256,247973,247165,2287,3091,492728,246237,246491,244172,243733,2065,2758,487969,243530,244439,241503,241876,2027,2563,481332,239990,241342,237816,238781,2174,2561,463321,230851,232470,228709,229949,2142,2521,448471,223081,225390,221118,223050,1963,2340,440359,218699,221660,216777,219446,1922,2214,431920,213853,218067,211816,215757,2037,2310,440390,217338,223052,215335,220732,2003,2320,463998,228044,235954,226216,233754,1828,2200,466472,228682,237790,227002,235662,1680,21
