"동별(1)","동별(2)",동별(3),조직형태별(1),조직형태별(2),조직형태별(3),2014,2015,2016
"합계","소계",소계,합계,사업체수,사업체수,812798,820658,820156
"합계","소계",소계,합계,종사자수,소계,4739883,5108828,5079451
"합계","소계",소계,합계,종사자수,남,2679567,2887719,2847402
"합계","소계",소계,합계,종사자수,여,2060316,2221109,2232049
"합계","소계",소계,개인,사업체수,소계,628077,631635,631779
"합계","소계",소계,개인,종사자수,소계,1538324,1585519,1573964
"합계","소계",소계,회사법인,사업체수,소계,145456,150004,149198
"합계","소계",소계,회사법인,종사자수,소계,2445582,2731540,2707718
"합계","소계",소계,회사이외의 법인,사업체수,소계,17970,18791,19078
"합계","소계",소계,회사이외의 법인,종사자수,소계,638081,676175,682454
"합계","소계",소계,비법인단체,사업체수,소계,21295,20228,20101
"합계","소계",소계,비법인단체,종사자수,소계,117896,115594,115315
"합계","종로구",소계,합계,사업체수,사업체수,40923,40871,40664
"합계","종로구",소계,합계,종사자수,소계,245698,269106,268309
"합계","종로구",소계,합계,종사자수,남,141165,152766,154334
"합계","종로구",소계,합계,종사자수,여,104533,116340,113975
"합계","종로구",소계,개인,사업체수,소계,32340,32193,32175
"합계","종로구",소계,개인,종사자수,소계,77013,79656,77452
"합계","종로구",소계,회사법인,사업체수,소계,6314,6440,6309
"합계","종로구",소계,회사법인,종사자수,소계,118054,135256,138426
"합계","종로구",소계,회사이외의 법인,사업체수,소계,1292,1332,1313
"합계","종로구",소계,회사이외의 법인,종사자수,소계,46116,50089,48299
"합계","종로구",소계,비법인단체,사업체수,소계,977,906,867
"합계","종로구",소계,비법인단체,종사자수,소계,4515,4105,4132
"합계","종로구",사직동,합계,사업체수,사업체수,3563,3551,3489
"합계","종로구",사직동,합계,종사자수,소계,42248,51425,53850
"합계","종로구",사직동,합계,종사자수,남,24692,29781,31642
"합계","종로구",사직동,합계,종사자수,여,17556,21644,22208
"합계","종로구",사직동,개인,사업체수,소계,1820,1772,1798
"합계","종로구",사직동,개인,종사자수,소계,8579,8650,8515
"합계","종로구",사직동,회사법인,사업체수,소계,1398,1448,1363
"합계","종로구",사직동,회사법인,종사자수,소계,23347,30778,33704
"합계","종로구",사직동,회사이외의 법인,사업체수,소계,223,233,230
"합계","종로구",사직동,회사이외의 법인,종사자수,소계,9719,11492,11054
"합계","종로구",사직동,비법인단체,사업체수,소계,122,98,98
"합계","종로구",사직동,비법인단체,종사자수,소계,603,505,577
"합계","종로구",삼청동,합계,사업체수,사업체수,747,738,751
"합계","종로구",삼청동,합계,종사자수,소계,4864,4736,4823
"합계","종로구",삼청동,합계,종사자수,남,2499,2374,2348
"합계","종로구",삼청동,합계,종사자수,여,2365,2362,2475
"합계","종로구",삼청동,개인,사업체수,소계,511,513,513
"합계","종로구",삼청동,개인,종사자수,소계,1560,1500,1433
"합계","종로구",삼청동,회사법인,사업체수,소계,179,170,181
"합계","종로구",삼청동,회사법인,종사자수,소계,1329,1296,1372
"합계","종로구",삼청동,회사이외의 법인,사업체수,소계,45,43,43
"합계","종로구",삼청동,회사이외의 법인,종사자수,소계,1912,1865,1918
"합계","종로구",삼청동,비법인단체,사업체수,소계,12,12,14
"합계","종로구",삼청동,비법인단체,종사자수,소계,63,75,100
"합계","종로구",부암동,합계,사업체수,사업체수,532,540,575
"합계","종로구",부암동,합계,종사자수,소계,3495,3635,3690
"합계","종로구",부암동,합계,종사자수,남,1707,1714,1896
"합계","종로구",부암동,합계,종사자수,여,1788,1921,1794
"합계","종로구",부암동,개인,사업체수,소계,403,403,431
"합계","종로구",부암동,개인,종사자수,소계,960,1114,1079
"합계","종로구",부암동,회사법인,사업체수,소계,63,72,74
"합계","종로구",부암동,회사법인,종사자수,소계,655,768,727
"합계","종로구",부암동,회사이외의 법인,사업체수,소계,26,25,26
"합계","종로구",부암동,회사이외의 법인,종사자수,소계,1784,1647,1755
"합계","종로구",부암동,비법인단체,사업체수,소계,40,40,44
"합계","종로구",부암동,비법인단체,종사자수,소계,96,106,129
"합계","종로구",평창동,합계,사업체수,사업체수,661,665,708
"합계","종로구",평창동,합계,종사자수,소계,3020,3059,2990
"합계","종로구",평창동,합계,종사자수,남,1418,1438,1405
"합계","종로구",평창동,합계,종사자수,여,1602,1621,1585
"합계","종로구",평창동,개인,사업체수,소계,484,486,508
"합계","종로구",평창동,개인,종사자수,소계,1391,1384,1239
"합계","종로구",평창동,회사법인,사업체수,소계,82,83,101
"합계","종로구",평창동,회사법인,종사자수,소계,844,815,858
"합계","종로구",평창동,회사이외의 법인,사업체수,소계,36,40,41
"합계","종로구",평창동,회사이외의 법인,종사자수,소계,492,561,567
"합계","종로구",평창동,비법인단체,사업체수,소계,59,56,58
"합계","종로구",평창동,비법인단체,종사자수,소계,293,299,326
"합계","종로구",무악동,합계,사업체수,사업체수,563,581,573
"합계","종로구",무악동,합계,종사자수,소계,1494,1510,1472
"합계","종로구",무악동,합계,종사자수,남,745,804,756
"합계","종로구",무악동,합계,종사자수,여,749,706,716
"합계","종로구",무악동,개인,사업체수,소계,512,529,521
"합계","종로구",무악동,개인,종사자수,소계,1116,1093,1116
"합계","종로구",무악동,회사법인,사업체수,소계,17,18,14
"합계","종로구",무악동,회사법인,종사자수,소계,219,231,123
"합계","종로구",무악동,회사이외의 법인,사업체수,소계,9,9,8
"합계","종로구",무악동,회사이외의 법인,종사자수,소계,100,117,110
"합계","종로구",무악동,비법인단체,사업체수,소계,25,25,30
"합계","종로구",무악동,비법인단체,종사자수,소계,59,69,123
"합계","종로구",교남동,합계,사업체수,사업체수,296,320,302
"합계","종로구",교남동,합계,종사자수,소계,3228,3158,3612
"합계","종로구",교남동,합계,종사자수,남,1360,1342,1504
"합계","종로구",교남동,합계,종사자수,여,1868,1816,2108
"합계","종로구",교남동,개인,사업체수,소계,210,226,212
"합계","종로구",교남동,개인,종사자수,소계,475,521,551
"합계","종로구",교남동,회사법인,사업체수,소계,43,45,41
"합계","종로구",교남동,회사법인,종사자수,소계,460,472,409
"합계","종로구",교남동,회사이외의 법인,사업체수,소계,27,32,29
"합계","종로구",교남동,회사이외의 법인,종사자수,소계,2211,2055,2533
"합계","종로구",교남동,비법인단체,사업체수,소계,16,17,20
"합계","종로구",교남동,비법인단체,종사자수,소계,82,110,119
"합계","종로구",가회동,합계,사업체수,사업체수,708,755,770
"합계","종로구",가회동,합계,종사자수,소계,11506,12215,14215
"합계","종로구",가회동,합계,종사자수,남,8299,8804,10794
"합계","종로구",가회동,합계,종사자수,여,3207,3411,3421
"합계","종로구",가회동,개인,사업체수,소계,508,544,557
"합계","종로구",가회동,개인,종사자수,소계,1195,1392,1346
"합계","종로구",가회동,회사법인,사업체수,소계,130,132,133
"합계","종로구",가회동,회사법인,종사자수,소계,8903,9346,11394
"합계","종로구",가회동,회사이외의 법인,사업체수,소계,45,51,52
"합계","종로구",가회동,회사이외의 법인,종사자수,소계,1308,1389,1367
"합계","종로구",가회동,비법인단체,사업체수,소계,25,28,28
"합계","종로구",가회동,비법인단체,종사자수,소계,100,88,108
"합계","종로구",종로1.2.3.4가동,합계,사업체수,사업체수,16071,16072,15970
"합계","종로구",종로1.2.3.4가동,합계,종사자수,소계,102493,110407,110743
"합계","종로구",종로1.2.3.4가동,합계,종사자수,남,61393,64972,66141
"합계","종로구",종로1.2.3.4가동,합계,종사자수,여,41100,45435,44602
"합계","종로구",종로1.2.3.4가동,개인,사업체수,소계,12732,12727,12683
"합계","종로구",종로1.2.3.4가동,개인,종사자수,소계,27764,29454,28616
"합계","종로구",종로1.2.3.4가동,회사법인,사업체수,소계,2676,2696,2667
"합계","종로구",종로1.2.3.4가동,회사법인,종사자수,소계,62105,68120,70062
"합계","종로구",종로1.2.3.4가동,회사이외의 법인,사업체수,소계,397,406,405
"합계","종로구",종로1.2.3.4가동,회사이외의 법인,종사자수,소계,11426,11790,11003
"합계","종로구",종로1.2.3.4가동,비법인단체,사업체수,소계,266,243,215
"합계","종로구",종로1.2.3.4가동,비법인단체,종사자수,소계,1198,1043,1062
"합계","종로구",종로5.6가동,합계,사업체수,사업체수,7752,7726,7691
"합계","종로구",종로5.6가동,합계,종사자수,소계,24793,25723,23392
"합계","종로구",종로5.6가동,합계,종사자수,남,15358,16203,14459
"합계","종로구",종로5.6가동,합계,종사자수,여,9435,9520,8933
"합계","종로구",종로5.6가동,개인,사업체수,소계,6868,6828,6800
"합계","종로구",종로5.6가동,개인,종사자수,소계,14407,14395,14137
"합계","종로구",종로5.6가동,회사법인,사업체수,소계,634,663,645
"합계","종로구",종로5.6가동,회사법인,종사자수,소계,8868,9908,7655
"합계","종로구",종로5.6가동,회사이외의 법인,사업체수,소계,127,122,132
"합계","종로구",종로5.6가동,회사이외의 법인,종사자수,소계,1101,1086,1212
"합계","종로구",종로5.6가동,비법인단체,사업체수,소계,123,113,114
"합계","종로구",종로5.6가동,비법인단체,종사자수,소계,417,334,388
"합계","종로구",이화동,합계,사업체수,사업체수,1318,1338,1248
"합계","종로구",이화동,합계,종사자수,소계,14597,18241,16032
"합계","종로구",이화동,합계,종사자수,남,5758,7689,6683
"합계","종로구",이화동,합계,종사자수,여,8839,10552,9349
"합계","종로구",이화동,개인,사업체수,소계,831,848,829
"합계","종로구",이화동,개인,종사자수,소계,2766,2926,2704
"합계","종로구",이화동,회사법인,사업체수,소계,281,289,268
"합계","종로구",이화동,회사법인,종사자수,소계,3327,4298,3837
"합계","종로구",이화동,회사이외의 법인,사업체수,소계,111,113,96
"합계","종로구",이화동,회사이외의 법인,종사자수,소계,8023,10522,9270
"합계","종로구",이화동,비법인단체,사업체수,소계,95,88,55
"합계","종로구",이화동,비법인단체,종사자수,소계,481,495,221
"합계","종로구",창신1동,합계,사업체수,사업체수,2400,2288,2273
"합계","종로구",창신1동,합계,종사자수,소계,6418,7073,6340
"합계","종로구",창신1동,합계,종사자수,남,3389,3431,3115
"합계","종로구",창신1동,합계,종사자수,여,3029,3642,3225
