연도,학제,대학원구분,학교명,학교상태,본분교,시도,시군구,설립,주야구분,주소
2021, 대학교 ,  , 한성대학교 , 기존 , 본교 , 서울 , 서울 성북구 , 사립 , 주야간 ," 서울특별시 성북구 삼선교로16길 116 (삼선동2가, 한성대학교) "
2021, 대학교 ,  , 한양대학교 , 기존 , 본교 , 서울 , 서울 성동구 , 사립 , 주야간 ," 서울특별시 성동구 왕십리로 222 (사근동, 한양대학교) "
2021, 대학교 ,  , 서울한영대학교 , 기존 , 본교 , 서울 , 서울 구로구 , 사립 , 주야간 ," 서울특별시 구로구 경인로 290-42 (개봉동, 한영신학대학교) "
2021, 대학교 ,  , 홍익대학교 , 기존 , 본교 , 서울 , 서울 마포구 , 사립 , 주간 ," 서울특별시 마포구 와우산로 94 (상수동, 홍익대학교) "
2021, 교육대학 ,  , 서울교육대학교 , 기존 , 본교 , 서울 , 서울 서초구 , 국립 , 주간 ," 서울특별시 서초구 서초중앙로 96 (서초동, 서울교육대학교,서울교대초등학교) "
2021, 방송통신대학 ,  , 한국방송통신대학교 , 기존 , 본교 , 서울 , 서울 종로구 , 국립 , 주야간+원격 ," 서울특별시 종로구 대학로 86 (동숭동, 한국방송통신대학교) "
2021, 기술대학 ,  , 정석대학 , 기존 , 본교 , 서울 , 서울 강서구 , 사립 , 야간 ," 서울특별시 강서구 하늘길 260 (공항동, 대한항공) "
2021, 전공대학 ,  , 국제예술대학교 , 기존 , 본교 , 서울 , 서울 강남구 , 사립 , 주야간 ," 서울특별시 강남구 도산대로30길 47 (논현동, 국제예술대학교) "
2021, 전공대학 ,  , 백석예술대학교 , 기존 , 본교 , 서울 , 서울 서초구 , 사립 , 주야간 ," 서울특별시 서초구 방배로9길 23 (방배동, 백석예술대학교) "
2021, 전공대학 ,  , 정화예술대학교 , 기존 , 본교 , 서울 , 서울 중구 , 사립 , 주야간+원격 ," 서울특별시 중구 퇴계로16길 21 (남산동1가, 정화예술대학교명동캠퍼스본관) "
2021, 전문대학(3년제) ,  , 동양미래대학교 , 기존 , 본교 , 서울 , 서울 구로구 , 사립 , 주야간 ," 서울특별시 구로구 경인로 445 (고척동, 동양미래대학교) "
2021, 전문대학(3년제) ,  , 명지전문대학 , 기존 , 본교 , 서울 , 서울 서대문구 , 사립 , 주야간 ," 서울특별시 서대문구 가좌로 134 (홍은동, 명지전문대학) "
2021, 전문대학(3년제) ,  , 배화여자대학교 , 기존 , 본교 , 서울 , 서울 종로구 , 사립 , 주야간 ," 서울특별시 종로구 필운대로1길 34 (필운동, 배화여자대학) "
2021, 전문대학(4년제) ,  , 삼육보건대학교 , 기존 , 본교 , 서울 , 서울 동대문구 , 사립 , 주야간 , 서울특별시 동대문구 망우로 82 (휘경동) 
2021, 전문대학(4년제) ,  , 서울여자간호대학교 , 기존 , 본교 , 서울 , 서울 서대문구 , 사립 , 주야간 ," 서울특별시 서대문구 간호대로 38 (홍제동, 서울여자간호대학) "
2021, 전문대학(2년제) ,  , 서일대학교 , 기존 , 본교 , 서울 , 서울 중랑구 , 사립 , 주야간 ," 서울특별시 중랑구 용마산로90길 28 (면목동, 서일대학) "
2021, 전문대학(2년제) ,  , 숭의여자대학교 , 기존 , 본교 , 서울 , 서울 중구 , 사립 , 주야간 ," 서울특별시 중구 소파로2길 10 (예장동, 숭의여자대학) "
2021, 전문대학(3년제) ,  , 인덕대학교 , 기존 , 본교 , 서울 , 서울 노원구 , 사립 , 주야간 ," 서울특별시 노원구 초안산로 12 (월계동, 인덕대학) "
2021, 전문대학(2년제) ,  , 한양여자대학교 , 기존 , 본교 , 서울 , 서울 성동구 , 사립 , 주야간 ," 서울특별시 성동구 살곶이길 200 (사근동, 한양여자대학) "
2021, 사이버대학(대학) ,  , 경희사이버대학교 , 기존 , 본교 , 서울 , 서울 동대문구 , 사립 , 원격 ," 서울특별시 동대문구 경희대로 26 (회기동, 경희사이버대학교) "
2021, 사이버대학(대학) ,  , 서울디지털대학교 , 기존 , 본교 , 서울 , 서울 강서구 , 사립 , 원격 ," 서울특별시 강서구 공항대로 424 (화곡동, 서울디지털대학교) "
2021, 사이버대학(대학) ,  , 서울사이버대학교 , 기존 , 본교 , 서울 , 서울 강북구 , 사립 , 원격 ," 서울특별시 강북구 솔매로49길 60 (미아동, 서울사이버대학교) "
2021, 사이버대학(대학) ,  , 세종사이버대학교  , 기존 , 본교 , 서울 , 서울 광진구 , 사립 , 원격 ," 서울특별시 광진구 군자로 121 (군자동, 세종사이버대학) "
2021, 사이버대학(대학) ,  , 한국열린사이버대학교 , 기존 , 본교 , 서울 , 서울 중랑구 , 사립 , 원격 ," 서울특별시 중랑구 망우로 353 (상봉동, 상봉프레미어스엠코) "
2021, 사이버대학(대학) ,  , 고려사이버대학교 , 기존 , 본교 , 서울 , 서울 종로구 , 사립 , 원격 ," 서울특별시 종로구 북촌로 106 (계동, 고려사이버대학교) "
2021, 사이버대학(대학) ,  , 숭실사이버대학교 , 기존 , 본교 , 서울 , 서울 종로구 , 사립 , 원격 ," 서울특별시 종로구 삼일대로30길 23 (익선동, BIZWELL종로오피스텔) "
2021, 사이버대학(대학) ,  , 디지털서울문화예술대학교 , 기존 , 본교 , 서울 , 서울 서대문구 , 사립 , 원격 ," 서울특별시 서대문구 통일로37길 60 (홍제동, 디지털서울문화예술대학교) "
2021, 사이버대학(대학) ,  , 한양사이버대학교 , 기존 , 본교 , 서울 , 서울 성동구 , 사립 , 원격 ," 서울특별시 성동구 왕십리로 220 (행당동, 한양사이버대학교) "
2021, 사이버대학(대학) ,  , 사이버한국외국어대학교 , 기존 , 본교 , 서울 , 서울 동대문구 , 사립 , 원격 ," 서울특별시 동대문구 이문로 107 (이문동, 한국외국어대학교) "
2021, 각종대학(대학) ,  , 한국예술종합학교 , 기존 , 본교 , 서울 , 서울 성북구 , 특별법국립 , 주간 ," 서울특별시 성북구 화랑로32길 146-37 (석관동, 한국종합예술학교) "
2021, 기능대학 ,  , 한국폴리텍대학 서울정수캠퍼스 , 기존 , 본교 , 서울 , 서울 용산구 , 사립 , 주야간 ," 서울특별시 용산구 보광로 73 (보광동, 한국폴리텍1대학서울정수캠퍼스) "
2021, 기능대학 ,  , 한국폴리텍대학 서울강서캠퍼스 , 기존 , 본교 , 서울 , 서울 강서구 , 사립 , 주간 ," 서울특별시 강서구 우장산로10길 112 (화곡동, 한국폴리텍대학서울강서캠퍼스) "
