,구,2011,2012,2013
0,종로구,232685,232857,235681
1,중구,371861,386637,370070
2,용산구,126714,120441,127151
3,성동구,134727,139994,143803
4,광진구,116300,117652,119965
5,동대문구,129592,132397,132100
6,중랑구,92326,96613,96038
7,성북구,101472,103054,108141
8,강북구,68217,69508,69468
9,도봉구,62791,62820,63936
10,노원구,103761,102327,104525
11,은평구,78623,80672,83203
12,서대문구,94280,97686,98666
13,마포구,201682,212720,214621
14,양천구,107890,108802,109999
15,강서구,163250,168783,178281
16,구로구,180377,190692,193660
17,금천구,198094,198565,203455
18,영등포구,325207,335678,337027
19,동작구,100296,99628,108007
20,관악구,108511,109069,109055
21,서초구,394802,376962,373954
22,강남구,635129,611206,617340
23,송파구,254120,257200,253215
24,강동구,115605,129430,133729
