,구,2011,2012,2013
0,종로구,38635,39486,39326
1,중구,59567,64307,64846
2,용산구,19392,20004,20067
3,성동구,23300,24250,24803
4,광진구,24607,24828,24676
5,동대문구,30130,31881,31972
6,중랑구,26992,27289,27490
7,성북구,24674,25061,25074
8,강북구,19404,19485,19248
9,도봉구,17659,17893,17713
10,노원구,25636,24864,25173
11,은평구,23055,23325,23953
12,서대문구,18116,18653,19211
13,마포구,30420,32053,32793
14,양천구,25275,25750,25720
15,강서구,31069,31596,32021
16,구로구,33784,35523,35352
17,금천구,26092,27651,28406
18,영등포구,40594,42157,42151
19,동작구,19895,20022,20035
20,관악구,25956,26294,26309
21,서초구,38535,42602,42882
22,강남구,57987,62448,62614
23,송파구,42778,43771,43503
24,강동구,28733,29694,29756
