,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
3236,육전식당,4.0,동대문구, 서울특별시 동대문구 천호대로 38,한식, 만원-2만원,2022-01-30,맛있다,45,39.0,4.0,2.0
3237,성천막국수,4.0,동대문구, 서울특별시 동대문구 전농로 48,한식, 만원 미만,2022-07-26,맛있다,43,30.0,10.0,3.0
3238,스시선생,4.0,동대문구, 서울특별시 동대문구 경희대로4길 54,일식, 만원-2만원,2022-04-12,맛있다,52,37.0,13.0,2.0
3240,돼랑이우랑이,4.0,동대문구, 서울특별시 동대문구 휘경로 31-1,일식, 만원 미만,2022-05-23,맛있다,21,14.0,7.0,0.0
3242,서울뼈구이매운족발,4.0,동대문구, 서울특별시 동대문구 왕산로 274-1 1F,한식, 만원-2만원,2022-06-23,맛있다,26,18.0,7.0,1.0
3243,경발원,4.0,동대문구, 서울특별시 동대문구 망우로21길 34,중식, 만원 미만,2021-03-22,맛있다,37,27.0,6.0,4.0
3248,레알라면,4.0,동대문구, 서울특별시 동대문구 회기로25길 23-5,한식, 만원 미만,2022-06-07,괜찮다,49,37.0,11.0,1.0
3255,고래돈가스,4.0,동대문구, 서울특별시 동대문구 안암로 154,한식, 만원 미만,2022-04-02,맛있다,34,23.0,10.0,1.0
3400,티하우스나니,4.3,중랑구, 서울특별시 중랑구 용마산로117길 26 102호,카페/디저트, 만원 미만,2022-02-21,맛있다,20,20.0,0.0,0.0
3413,스시고메이,4.3,중랑구, 서울특별시 중랑구 공릉로 8-6,일식, 2만원-3만원,2021-07-04,괜찮다,22,16.0,4.0,2.0
3600,연희미식,4.8,서대문구, 서울특별시 서대문구 연희맛로 22 삼원빌딩,다국적아시아음식, 만원-2만원,2022-07-29,맛있다,41,36.0,5.0,0.0
3605,스탠바이키친,4.5,서대문구, 서울특별시 서대문구 연대동문길 49,양식, 만원 미만,2022-06-19,맛있다,149,128.0,17.0,4.0
