,구,2017,2018,2019
0,종로구,40490,39952,39679
1,중구,62936,60957,60127
2,용산구,20806,20813,20254
3,성동구,27278,27868,28343
4,광진구,24688,24535,24445
5,동대문구,32411,31878,31324
6,중랑구,28045,28024,28228
7,성북구,24039,23287,23617
8,강북구,18928,18918,19014
9,도봉구,18351,18894,18628
10,노원구,26516,26616,26618
11,은평구,24561,24873,24681
12,서대문구,19852,19796,20095
13,마포구,36325,37232,37290
14,양천구,26077,26126,25894
15,강서구,36556,38524,39458
16,구로구,38405,38553,38756
17,금천구,31750,32472,33814
18,영등포구,43163,42589,42370
19,동작구,19966,19916,19793
20,관악구,26374,26105,25505
21,서초구,46207,46540,46940
22,강남구,72511,71373,71027
23,송파구,46676,47772,48644
24,강동구,29952,29772,29080
