,구,2014,2015,2016
0,종로구,245698,269106,268309
1,중구,380407,423808,402892
2,용산구,126073,133446,129033
3,성동구,152831,162019,165047
4,광진구,117420,123689,126937
5,동대문구,137079,143858,144172
6,중랑구,99712,99241,101190
7,성북구,107496,113893,111442
8,강북구,70919,69787,69768
9,도봉구,66137,68669,70166
10,노원구,109272,114736,114999
11,은평구,84489,87693,90203
12,서대문구,102163,111615,113979
13,마포구,227966,252534,250605
14,양천구,114617,119443,117259
15,강서구,185361,199289,207406
16,구로구,197894,210506,211391
17,금천구,214128,223058,225578
18,영등포구,343943,362524,366625
19,동작구,105146,103915,108058
20,관악구,112223,119180,113781
21,서초구,390662,439963,427227
22,강남구,645060,711278,689623
23,송파구,263841,302517,312661
24,강동구,139346,143061,141100
