,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
1114,쌍문동쭈낙집,,도봉구, 서울특별시 도봉구 도봉로 463-1,0,만원-2만원,2022-06-15,맛있다,1,1.0,0.0,0.0
1115,써이포차나,,도봉구, 서울특별시 도봉구 도봉로169나길 42, 태국 음식, 만원 미만,2022-05-18,맛있다,7,5.0,1.0,1.0
1116,하나노마카롱,,도봉구, 서울특별시 도봉구 도봉로112길 22 1F, 카페 / 디저트, 만원 미만,2020-12-31,별로,4,2.0,1.0,1.0
1117,카페오픈더도어,,도봉구, 서울특별시 도봉구 도봉로 489 2F, 카페 / 디저트, 만원 미만,2021-03-11,맛있다,4,4.0,0.0,0.0
1118,라스커피,,도봉구, 서울특별시 도봉구 도봉로 441 드림하우스 1F, 카페 / 디저트, 만원 미만,2018-03-04,별로,3,1.0,0.0,2.0
1119,쌍문족빨,,도봉구, 서울특별시 도봉구 도봉로 585, 고기 요리, 만원-2만원,2018-02-19,맛있다,3,3.0,0.0,0.0
1120,맛나당왕만두,,도봉구, 서울특별시 도봉구 덕릉로 235, 국수 / 면 요리, 만원 미만,2022-03-10,맛있다,3,2.0,1.0,0.0
1121,곳간,4.6,도봉구, 서울특별시 도봉구 도봉로154길 35 1F, 퓨전 일식, 만원 미만,2021-03-02,맛있다,3,3.0,0.0,0.0
1122,커피엘빈,,도봉구, 서울특별시 도봉구 노해로63다길 41 1F 101호, 카페 / 디저트, 만원 미만,2020-03-28,괜찮다,2,1.0,1.0,0.0
1123,파리바게뜨,,도봉구, 서울특별시 도봉구 덕릉로 252, 베이커리, 만원 미만,2022-06-22,맛있다,2,2.0,0.0,0.0
1124,정초밥,,도봉구, 서울특별시 도봉구 마들로 724 상가동 103호, 회 / 스시, 만원-2만원,2021-06-14,맛있다,1,1.0,0.0,0.0
1125,아임파인커피,,도봉구, 서울특별시 도봉구 도당로6길 30-2 1F, 카페 / 디저트, 만원 미만,2022-02-02,맛있다,1,1.0,0.0,0.0
1126,역전초밥,,도봉구, 서울특별시 도봉구 도봉로150길 31 ESA아파트3단지상가 1F, 회 / 스시, 만원-2만원,2022-05-17,맛있다,1,1.0,0.0,0.0
1127,블랙베어,,도봉구, 서울특별시 도봉구 방학로3길 90 102호, 이탈리안, 만원-2만원,2022-07-19,맛있다,1,1.0,0.0,0.0
1128,본죽,,도봉구, 서울특별시 도봉구 덕릉로 250, 기타 한식, 만원-2만원,2022-05-14,맛있다,1,1.0,0.0,0.0
1129,푸곱야채곱창,,도봉구, 서울특별시 도봉구 시루봉로17길 4, 고기 요리, 만원-2만원,0,0,1,1.0,0.0,0.0
1130,대군코다리,,도봉구, 서울특별시 도봉구 도봉산4가길 13-8, 해산물 요리, 만원-2만원,0,0,0,,,
1131,창동두리네곱창,,도봉구, 서울특별시 도봉구 해등로16길 46, 고기 요리, 만원-2만원,2021-06-20,맛있다,8,5.0,1.0,2.0
1132,맘스터치,,도봉구, 서울특별시 도봉구 노해로63길 67, 브런치 / 버거 / 샌드위치, 만원 미만,2021-12-25,맛있다,7,6.0,1.0,0.0
1133,삿뽀로,,도봉구, 서울특별시 도봉구 도봉로 610, 정통 일식 / 일반 일식, 2만원-3만원,2014-07-12,별로,5,3.0,1.0,1.0
1134,블루밍,,도봉구, 서울특별시 도봉구 도봉로110다길 38 204동 102호, 브런치 / 버거 / 샌드위치, 만원 미만,2021-12-04,맛있다,4,4.0,0.0,0.0
1135,Comfort Cafe,,도봉구, 서울특별시 도봉구 삼양로144길 19, 카페 / 디저트, 만원 미만,2018-12-31,맛있다,3,3.0,0.0,0.0
1136,버거바이트,,도봉구, 서울특별시 도봉구 노해로63나길 10 1F, 브런치 / 버거 / 샌드위치, 만원 미만,2022-07-18,맛있다,3,2.0,1.0,0.0
1137,광릉불고기,,도봉구, 서울특별시 도봉구 도봉로152길 29-4, 고기 요리, 만원-2만원,2019-12-27,맛있다,2,2.0,0.0,0.0
1138,마포돼지네,,도봉구, 서울특별시 도봉구 도당로13길 32,0,만원 미만,0,0,1,1.0,0.0,0.0
