,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
391,우마스시,,동대문구,주소 서울특별시 동대문구 전농로 96-1,음식 종류 회 / 스시,가격대 만원-2만원,2021-11-30,맛있다,14,10.0,2.0,2.0
392,등촌샤브칼국수,,동대문구,주소 서울특별시 동대문구 회기로21길 38,음식 종류 탕 / 찌개 / 전골,가격대 만원-2만원,2021-06-12,맛있다,16,5.0,10.0,1.0
393,꽃갈피,,동대문구,주소 서울특별시 동대문구 망우로18가길 36,음식 종류 카페 / 디저트,가격대 만원 미만,2021-12-21,맛있다,12,11.0,1.0,0.0
394,모두랑,,동대문구,주소 서울특별시 동대문구 회기로23가길 20,음식 종류 기타 한식,가격대 만원 미만,2021-12-22,별로,7,3.0,3.0,1.0
395,항방양육관,,동대문구,주소 서울특별시 동대문구 천호대로85길 21-1,음식 종류 기타 중식,가격대 만원-2만원,2020-09-25,괜찮다,6,3.0,3.0,0.0
396,튠업,,동대문구,주소 서울특별시 동대문구 이문로9길 46,음식 종류 카페 / 디저트,가격대 만원 미만,2021-05-13,괜찮다,4,3.0,1.0,0.0
397,빈이네곱창,,동대문구,주소 서울특별시 동대문구 하정로3길 6,음식 종류 고기 요리,가격대 만원 미만,0,0,2,2.0,0.0,0.0
398,원더월커피로스터스,,동대문구,주소 서울특별시 동대문구 답십리로 80 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2020-12-19,맛있다,2,2.0,0.0,0.0
399,인우초밥,,동대문구,주소 서울특별시 동대문구 한천로11길 61-5,음식 종류 회 / 스시,가격대 만원-2만원,2019-09-27,맛있다,9,7.0,1.0,1.0
400,티하우스나니,4.3,중랑구,주소 서울특별시 중랑구 용마산로117길 26 102호,음식 종류 카페 / 디저트,가격대 만원 미만,2022-02-21,맛있다,20,20.0,0.0,0.0
401,용마해장국,4.3,중랑구,주소 서울특별시 중랑구 용마공원로5길 8,음식 종류 탕 / 찌개 / 전골,가격대 만원 미만,2022-05-05,맛있다,11,11.0,0.0,0.0
402,면동떡볶이,4.1,중랑구,주소 서울특별시 중랑구 면목로57길 33 1F,음식 종류 기타 한식,가격대 만원 미만,2022-04-29,별로,12,9.0,2.0,1.0
403,함평국밥,4.1,중랑구,주소 서울특별시 중랑구 봉우재로33길 73,음식 종류 고기 요리,가격대 만원 미만,2022-08-05,맛있다,8,7.0,0.0,1.0
